ISO3_code,Location,Population
TLS,Timor-Leste,1360.596
TGO,Togo,9053.799
TKL,Tokelau,1.893
TON,Tonga,107.773
TTO,Trinidad and Tobago,1534.937
TUN,Tunisia,12458.223
TKM,Turkmenistan,6516.1
TCA,Turks and Caicos Islands,46.062
TUV,Tuvalu,11.396
TUR,Türkiye,85816.199
UGA,Uganda,48582.334
UKR,Ukraine,36744.634
ARE,United Arab Emirates,9516.871
GBR,United Kingdom,67736.802
TZA,United Republic of Tanzania,67438.106
VIR,United States Virgin Islands,98.75
USA,United States of America,339996.563
URY,Uruguay,3423.108
UZB,Uzbekistan,35163.944
VUT,Vanuatu,334.506
VEN,Venezuela (Bolivarian Republic of),28838.499
VNM,Viet Nam,98858.95
WLF,Wallis and Futuna Islands,11.502
ESH,Western Sahara,587.258
YEM,Yemen,34449.825
ZMB,Zambia,20569.737
ZWE,Zimbabwe,16665.409
